Mês;Dia_semana;Dia_mês;Aluno_almoço;Bolsista_almoço;Pós_Doc_almoço;Aluno_Externo_almoço;Func_almoço;Visitante_almoço;Comunidade_almoço;Total_almoço;Aluno_jantar;Bolsista_jantar;Pós_Doc_jantar;Aluno_Externo_jantar;Func_jantar;Visitante_jantar;Comunidade_jantar;Total_jantar;Total_dia
7;seg;29;62;27;4;5;1;1;0;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;100
7;ter;30;75;35;6;7;3;1;0;127;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;127
7;qua;31;89;32;11;6;0;1;0;139;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;139
8;qui;1;73;43;12;7;1;0;0;136;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;136
8;sex;2;74;31;9;3;4;0;0;121;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;121
8;sáb;3;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
8;dom;4;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
8;seg;5;355;137;6;3;4;0;0;505;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;505
8;ter;6;416;158;9;1;2;0;0;586;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;586
8;qua;7;434;147;6;0;1;0;0;588;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;588
8;qui;8;459;166;10;48;5;2;0;690;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;690
8;sex;9;133;64;5;0;3;0;0;205;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;205
8;sáb;10;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
8;dom;11;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
8;seg;12;427;148;3;3;1;0;0;582;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;582
8;ter;13;514;162;6;4;5;0;0;691;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;691
8;qua;14;488;149;5;42;7;0;0;691;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;691
8;qui;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
8;sex;16;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
8;sáb;17;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
8;dom;18;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
8;seg;19;351;137;7;34;3;0;0;532;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;532
8;ter;20;475;142;4;43;3;0;0;667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;667
8;qua;21;398;132;8;44;5;0;0;587;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;587
8;qui;22;341;130;9;2;4;0;0;486;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;486
8;sex;23;170;81;8;1;0;0;0;260;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;260
8;sáb;24;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
8;dom;25;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
