Ano,Mês,Dia_semana,Dia_mês,refeicao,prato_principal_1,prato_principal_2,guarnição,sobremesa_1,sobremesa_2,Aluno,Bolsista,Pos_Doc,Aluno_Externo,Comunidade,Visitantes,Funcionario,Total,Precipitacao_mm,Temp_max_C,Temp_min_C,Umid_rel_ar,Vento_velocidade_horaria (m/s),Vento_rajada_maxima (m/s),dia letivo
2023,2,sex,17,jantar,lombo ao molho de limão,omelete de forno,ervilha a parmentier,chocolate,abacaxi,290.0,167.0,0.0,3.0,49.0,0.0,0.0,509.0,0.06666666666666667,25.900000000000002,23.133333333333336,78.66666666666667,0.0,5.466666666666666,0
2023,2,qui,23,cafe da manha,,,,,,,,,,,,,38.0,0.0,21.75,20.799999999999997,83.0,1.35,4.25,0
2023,2,qui,23,almoco,hamburguer ao molho pizzaiolo,hamburguer pizzaiolo com pvt,purê de batatas,chocolate,melancia,561.0,222.0,1.0,9.0,60.0,0.0,0.0,853.0,0.0,27.3,24.766666666666666,66.33333333333333,1.7333333333333334,5.8999999999999995,0
2023,2,qui,23,jantar,filé de frango empanado,almôndegas de lentilha,cenoura à salsa,sorvete de creme,banana,494.0,218.0,0.0,5.0,56.0,0.0,0.0,773.0,0.39999999999999997,25.066666666666666,23.099999999999998,79.66666666666667,1.1333333333333335,5.133333333333334,0
2023,2,sex,24,cafe da manha,,,,,,,,,,,,,41.0,0.0,19.85,18.85,94.0,0.85,4.0,0
2023,2,sex,24,almoco,bife ao molho roty,omelete de espinafre,macarrão ao sugo,delícia de abacaxi,mamão,576.0,234.0,1.0,8.0,57.0,0.0,1.0,877.0,0.0,24.933333333333334,23.133333333333336,70.0,1.6666666666666667,5.7,0
2023,2,sex,24,jantar,lombo ao molho de limão,lasanha de berinjela com pvt,couve refogada,gelatina de morango,melão,391.0,182.0,0.0,2.0,71.0,0.0,0.0,646.0,0.0,26.833333333333332,25.233333333333334,67.33333333333333,0.6666666666666666,3.9,0
2023,2,sáb,25,almoco,frango assado,grãos com queijo,legumes refogados,mousse de maracujá,banana,397.0,169.0,1.0,5.0,0.0,0.0,2.0,574.0,0.0,27.900000000000002,26.333333333333332,65.33333333333333,2.4,7.333333333333333,0
2023,2,seg,27,cafe da manha,,,,,,,,,,,,,54.0,0.0,23.55,21.65,84.0,0.0,3.05,0
2023,2,seg,27,almoco,filé de frango empanado,ovo cozido,creme de milho,barra de cereal,banana,645.0,215.0,1.0,7.0,66.0,0.0,0.0,934.0,0.0,29.566666666666666,26.5,59.333333333333336,1.2333333333333334,6.033333333333334,0
2023,2,seg,27,jantar,bife ao molho madeira,quibe de brócolis,abobrinha à italiana,torrone,maçã,566.0,263.0,0.0,3.0,48.0,0.0,0.0,880.0,0.0,27.0,26.03333333333333,71.33333333333333,0.6,3.3333333333333335,0
2023,2,ter,28,cafe da manha,,,,,,,,,,,,,66.0,0.0,20.95,20.1,87.5,0.25,4.05,0
